task_id,task_name,architecture,runs,success_count,success_rate,avg_turns,avg_tool_calls,avg_total_tokens,avg_estimated_cost
finalpool/arrange-workspace,Arrange Workspace,multi,1,1,1.0,1.0,46.0,563796.0,0.799
finalpool/arrange-workspace,Arrange Workspace,single,1,0,0.0,1.0,47.0,293592.0,0.474
finalpool/detect-revised-terms,Detect Revised Terms,multi,1,0,0.0,1.0,30.0,624816.0,0.997
finalpool/detect-revised-terms,Detect Revised Terms,single,1,0,0.0,1.0,23.0,529045.0,0.883
finalpool/excel-data-transformation,Excel Data Transformation,multi,1,1,1.0,1.0,9.0,691055.0,0.941
finalpool/excel-data-transformation,Excel Data Transformation,single,1,0,0.0,1.0,7.0,144148.0,0.223
finalpool/inventory-sync,Inventory Sync,multi,1,1,1.0,1.0,6.0,269488.0,0.408
finalpool/inventory-sync,Inventory Sync,single,1,0,0.0,1.0,42.0,403075.0,0.626
finalpool/k8s-pr-preview-testing,K8S PR Preview Testing,multi,2,0,0.0,1.0,14.0,110806.0,0.195
finalpool/k8s-pr-preview-testing,K8S PR Preview Testing,single,2,0,0.0,1.0,16.5,0.0,0.0
finalpool/paper-checker,Paper Checker,multi,1,1,1.0,1.0,33.0,1761171.0,2.438
finalpool/paper-checker,Paper Checker,single,1,0,0.0,1.0,5.0,155835.0,0.25
finalpool/ppt-analysis,PPT Analysis,multi,1,1,1.0,1.0,6.0,125794.0,0.208
finalpool/ppt-analysis,PPT Analysis,single,1,0,0.0,1.0,5.0,109843.0,0.184
finalpool/privacy-desensitization,Privacy Desensitization,multi,1,0,0.0,1.0,0.0,8279.0,0.046
finalpool/privacy-desensitization,Privacy Desensitization,single,1,0,0.0,1.0,12.0,148323.0,0.336
finalpool/reimbursement-form-filler,Reimbursement Form Filler,multi,1,1,1.0,1.0,47.0,98990.0,0.23
finalpool/reimbursement-form-filler,Reimbursement Form Filler,single,1,0,0.0,1.0,7.0,66471.0,0.143
finalpool/woocommerce-update-cover,WooCommerce Update Cover,multi,1,1,1.0,1.0,5.0,471363.0,0.653
finalpool/woocommerce-update-cover,WooCommerce Update Cover,single,1,1,1.0,1.0,10.0,693117.0,0.979
